client_id,nom,telephone,ville,langue_preferee,premier_achat,nb_commandes,segment
CLI-0071,Nadia Alaoui,+212670370201,Fès,darija,2024-09-12,1,nouveau
CLI-0072,Ghita Kabbaj,+212656470092,Salé,darija,2025-04-22,4,régulier
CLI-0073,Sanae Alaoui,+212633407216,Meknès,ar,2024-08-03,2,fidèle
CLI-0074,Kenza Guessous,+212623616673,Agadir,ar,2026-07-06,3,nouveau
CLI-0075,Rania Bennani,+212691109218,Salé,darija,2026-03-03,2,nouveau
CLI-0076,Sofia Sqalli,+212671970577,Oujda,fr,2024-07-23,4,régulier
CLI-0077,Salma Cherkaoui,+212666617093,Tétouan,fr,2025-07-15,2,fidèle
CLI-0078,Ayoub Sqalli,+212623031263,Kénitra,darija,2025-10-09,4,régulier
CLI-0079,Youssef Tazi,+212661581047,Oujda,ar,2025-11-17,1,régulier
CLI-0080,Ghita Guessous,+212686092791,Tétouan,ar,2025-01-18,1,nouveau
CLI-0081,Othmane Naciri,+212699609600,Meknès,darija,2026-07-26,1,nouveau
CLI-0082,Amine Rachidi,+212648539869,Tanger,fr,2025-07-02,3,fidèle
CLI-0083,Youssef Ouazzani,+212615170765,Salé,darija,2024-03-07,2,nouveau
CLI-0084,Ilyas Lahlou,+212698703299,Fès,ar,2025-06-17,6,régulier
CLI-0085,Sanae Guessous,+212616383056,Meknès,darija,2026-08-18,2,régulier
CLI-0086,Ayoub داودي,+212672146697,Salé,fr,2024-03-04,1,régulier
CLI-0087,Amine Tazi,+212621436755,Salé,darija,2024-06-09,1,régulier
CLI-0088,Othmane Cherkaoui,+212695625559,Oujda,darija,2025-06-21,1,régulier
CLI-0089,Meryem Rachidi,+212623590461,Meknès,fr,2024-10-12,2,régulier
CLI-0090,Kenza Lahlou,+212610774937,Marrakech,fr,2024-01-20,1,nouveau
CLI-0091,Ilyas Sqalli,+212680027599,Tétouan,fr,2025-06-03,3,nouveau
CLI-0092,Othmane Lahlou,+212696347101,Tanger,darija,2024-07-03,9,régulier
CLI-0093,Ayoub Rachidi,+212656455201,Agadir,darija,2026-07-01,2,nouveau
CLI-0094,Imane Sqalli,+212685925933,Marrakech,darija,2025-07-05,3,fidèle
CLI-0095,Zakaria Idrissi,+212631228040,Tétouan,darija,2024-11-16,3,nouveau
CLI-0096,Kenza Cherkaoui,+212654909487,Casablanca,fr,2026-05-19,9,régulier
CLI-0097,Ilyas داودي,+212630485532,Mohammedia,fr,2026-03-11,2,nouveau
CLI-0098,Rania Mansouri,+212686574343,Fès,darija,2025-05-21,2,nouveau
CLI-0099,Zakaria Ouazzani,+212667338131,Casablanca,ar,2024-11-11,1,nouveau
CLI-0100,Imane داودي,+212628424785,Fès,ar,2024-02-22,3,régulier
CLI-0101,Amine Bennani,+212681157325,Tétouan,fr,2024-03-14,1,régulier
CLI-0102,Rania Bennani,+212695732479,Fès,fr,2025-10-04,9,nouveau
CLI-0103,Ilyas Cherkaoui,+212685370359,Rabat,fr,2024-03-17,1,nouveau
CLI-0104,Amine Naciri,+212667509857,Salé,darija,2024-06-27,2,nouveau
CLI-0105,Othmane Kabbaj,+212613122264,Marrakech,ar,2024-06-19,2,régulier
CLI-0106,Nadia Sqalli,+212612493490,Mohammedia,fr,2025-01-24,4,régulier
CLI-0107,Youssef Rachidi,+212669923203,Salé,darija,2026-05-18,3,régulier
CLI-0108,Karim Bennani,+212660873415,Casablanca,fr,2026-08-04,1,nouveau
CLI-0109,Ghita Idrissi,+212646211870,Marrakech,fr,2024-11-19,1,nouveau
CLI-0110,Kenza El Amrani,+212683452722,Fès,darija,2025-12-17,1,nouveau
CLI-0111,Amine Lahlou,+212678573557,Kénitra,darija,2024-06-20,4,fidèle
CLI-0112,Othmane Rachidi,+212635433146,Marrakech,fr,2024-11-19,1,fidèle
CLI-0113,Anas Alaoui,+212668302226,Salé,fr,2024-07-08,3,nouveau
CLI-0114,Amine Mansouri,+212674789720,Meknès,fr,2026-05-09,4,fidèle
CLI-0115,Othmane Ouazzani,+212675773706,Agadir,fr,2025-02-14,2,régulier
CLI-0116,Reda Ouazzani,+212660384357,Mohammedia,darija,2024-12-06,1,régulier
CLI-0117,Amine Idrissi,+212619352954,Meknès,darija,2024-11-16,2,nouveau
CLI-0118,Zakaria Ouazzani,+212649441081,Meknès,darija,2025-06-14,4,régulier
CLI-0119,Rania El Amrani,+212647966465,Salé,ar,2025-11-18,1,régulier
CLI-0120,Reda El Amrani,+212618977509,Tanger,darija,2025-03-09,4,nouveau
